METHOD,PARAMS,TIME,CI,CI_CENS,IBS,IAUC,CRIT,CI_mean,CI_CENS_mean,IBS_mean,IAUC_mean,table_path
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['Диагноз'], 'criterion': 'weights', 'depth': 5, 'ens_metric_name': 'ibs', 'leaf_model': 'base_fast', 'max_features': 0.7, 'min_samples_leaf': 100, 'mode_wei': 'exp', 'n_estimators': 30, 'n_jobs': 2, 'size_sample': 0.9}",173.6718595027924,"[0.75175589, 0.84940716, 0.84863641, 0.87458963, 0.87057918]","[0.6442028, 0.8509582, 0.84009547, 0.82753391, 0.83170327]","[0.12066855, 0.13410845, 0.16977789, 0.1598083, 0.15276479]","[0.78855868, 0.90879727, 0.82939219, 0.76907167, 0.84524066]",weights,0.8389936548413924,0.7988987298068041,0.1474255949613551,0.8282120938904571,ONK\ONK_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['Диагноз'], 'criterion': 'weights', 'depth': 5, 'ens_metric_name': 'ibs', 'leaf_model': 'base_fast', 'max_features': 0.7, 'min_samples_leaf': 100, 'mode_wei': 'square', 'n_estimators': 30, 'n_jobs': 2, 'size_sample': 0.9}",174.3565185070038,"[0.74943825, 0.84845589, 0.84273939, 0.86851902, 0.87465307]","[0.62267469, 0.85182566, 0.82968792, 0.82425743, 0.82701327]","[0.12419605, 0.13374093, 0.17257768, 0.16925533, 0.15052047]","[0.78920358, 0.92035128, 0.82558097, 0.72735274, 0.8618816]",weights,0.8367611226329028,0.7910917938038757,0.1500580911348552,0.8248740313312425,ONK\ONK_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['Диагноз'], 'criterion': 'weights', 'depth': 5, 'ens_metric_name': 'ibs', 'leaf_model': 'wei_survive', 'max_features': 0.5, 'min_samples_leaf': 100, 'mode_wei': 'exp', 'n_estimators': 30, 'n_jobs': 2, 'size_sample': 0.9}",160.6858384609222,"[0.75048008, 0.85483451, 0.84160509, 0.87183753, 0.8788876]","[0.64154772, 0.85310682, 0.83829794, 0.81683168, 0.82358156]","[0.12327938, 0.13793541, 0.16291918, 0.16193249, 0.14662201]","[0.79283443, 0.89780894, 0.84752588, 0.75535395, 0.86932076]",weights,0.8395289621130507,0.7946731441308466,0.1465376950657132,0.8325687925653782,ONK\ONK_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['Диагноз'], 'criterion': 'weights', 'depth': 5, 'ens_metric_name': 'ibs', 'leaf_model': 'wei_survive', 'max_features': 0.5, 'min_samples_leaf': 100, 'mode_wei': 'square', 'n_estimators': 30, 'n_jobs': 2, 'size_sample': 0.9}",161.908566236496,"[0.74788874, 0.85055487, 0.84583051, 0.87128222, 0.87228816]","[0.62106812, 0.84231036, 0.82290565, 0.81859154, 0.80755262]","[0.12848085, 0.13667055, 0.16869957, 0.17296133, 0.15844138]","[0.75656862, 0.89303502, 0.8179149, 0.74660112, 0.81236303]",weights,0.8375689019628358,0.7824856586699084,0.1530507381118063,0.8052965364170929,ONK\ONK_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['Диагноз'], 'criterion': 'weights', 'depth': 5, 'ens_metric_name': 'ibs', 'leaf_model': 'wei_survive', 'max_features': 0.7, 'min_samples_leaf': 100, 'mode_wei': 'exp', 'n_estimators': 30, 'n_jobs': 2, 'size_sample': 0.9}",174.8300895690918,"[0.75345108, 0.85230072, 0.84815218, 0.87953852, 0.86385034]","[0.63534127, 0.84807559, 0.83711972, 0.83513135, 0.80033173]","[0.12283475, 0.12790872, 0.16722297, 0.15920395, 0.15891755]","[0.77654451, 0.91219346, 0.8408071, 0.75548908, 0.82441135]",weights,0.839458567818171,0.7911999321529988,0.1472175885439432,0.8218891002634405,ONK\ONK_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['Диагноз'], 'criterion': 'weights', 'depth': 5, 'ens_metric_name': 'ibs', 'leaf_model': 'wei_survive', 'max_features': 0.7, 'min_samples_leaf': 100, 'mode_wei': 'square', 'n_estimators': 30, 'n_jobs': 2, 'size_sample': 0.9}",173.329320192337,"[0.74582713, 0.85164078, 0.83828843, 0.87398546, 0.86964437]","[0.63146858, 0.84619388, 0.83372104, 0.8265896, 0.80715225]","[0.12926178, 0.13665222, 0.16804928, 0.1614474, 0.14965693]","[0.79509011, 0.89620887, 0.84058392, 0.75533311, 0.85673261]",weights,0.8358772342200254,0.789025069141845,0.1490135207507484,0.828789722376899,ONK\ONK_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['Диагноз'], 'criterion': 'weights', 'depth': 10, 'ens_metric_name': 'conc', 'leaf_model': 'base_fast', 'max_features': 0.5, 'min_samples_leaf': 100, 'mode_wei': 'exp', 'n_estimators': 30, 'n_jobs': 2, 'size_sample': 0.9}",130.031742811203,"[0.74631936, 0.855234, 0.84647837, 0.87394547, 0.87301325]","[0.64640127, 0.85540223, 0.84177215, 0.81690322, 0.80590826]","[0.12360827, 0.13822873, 0.1722688, 0.16468869, 0.15220118]","[0.78350349, 0.91397445, 0.8202572, 0.75697863, 0.85442598]",weights,0.8389980906590084,0.7932774272159928,0.1501991351789082,0.8258279511220573,ONK\ONK_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['Диагноз'], 'criterion': 'weights', 'depth': 10, 'ens_metric_name': 'conc', 'leaf_model': 'base_fast', 'max_features': 0.5, 'min_samples_leaf': 100, 'mode_wei': 'square', 'n_estimators': 30, 'n_jobs': 2, 'size_sample': 0.9}",127.4526970386505,"[0.75056617, 0.85082194, 0.83290438, 0.87118449, 0.86493017]","[0.64359399, 0.83986815, 0.80986979, 0.8232988, 0.8019332]","[0.12545731, 0.14243454, 0.18296713, 0.16820955, 0.15753405]","[0.76501486, 0.90518695, 0.77788117, 0.75331252, 0.84984171]",weights,0.834081428401286,0.7837127865214876,0.1553205162626171,0.8102474429237825,ONK\ONK_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['Диагноз'], 'criterion': 'weights', 'depth': 10, 'ens_metric_name': 'conc', 'leaf_model': 'base_fast', 'max_features': 0.7, 'min_samples_leaf': 100, 'mode_wei': 'exp', 'n_estimators': 30, 'n_jobs': 2, 'size_sample': 0.9}",151.4695205688477,"[0.75056617, 0.84517609, 0.84881109, 0.87610006, 0.87636205]","[0.63677873, 0.84388512, 0.83696867, 0.82840668, 0.80974033]","[0.12205491, 0.1383847, 0.17438021, 0.160003, 0.15034785]","[0.78342231, 0.90508794, 0.82582394, 0.76562019, 0.86441214]",weights,0.8394030912798478,0.7911559090197723,0.149034134264067,0.8288733048719928,ONK\ONK_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['Диагноз'], 'criterion': 'weights', 'depth': 10, 'ens_metric_name': 'conc', 'leaf_model': 'base_fast', 'max_features': 0.7, 'min_samples_leaf': 100, 'mode_wei': 'square', 'n_estimators': 30, 'n_jobs': 2, 'size_sample': 0.9}",151.3449132442474,"[0.74824852, 0.84352294, 0.84369016, 0.87584462, 0.87298202]","[0.6442028, 0.83878717, 0.82801124, 0.81955016, 0.8007178]","[0.1247747, 0.13753628, 0.17609155, 0.16246822, 0.15635651]","[0.79185118, 0.90373714, 0.8199093, 0.75344771, 0.84079506]",weights,0.8368576527408373,0.7862538336232288,0.1514454543905777,0.8219480776072793,ONK\ONK_full.xlsx
