,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
kmIBS,0.1845759382639201,0.18252654528396256,0.1826451061627448,0.1830085684857834,0.19091960871654157,0.19436095179055907,0.1938107144406188,0.19465818183435962,0.19673513240819487,0.19641123752608342,0.2022721904575421,0.2095454422832601,0.17849923587925526,0.1861591159195742,0.19090596548258282,0.19598688048262475,0.20795721405367934,0.2116331463693986,0.16756347215445774,0.16607535010505167,0.16648779277850495,0.17016943665528694,0.17861508185862887,0.18648802027642572,0.20467470535343685,0.20537565994547444,0.20734995468998657,0.2045336161083286,0.20111997593738054,0.1996429662997465,0.17255200664081694,0.17334704663756062,0.17300533351464428,0.1720073143862546,0.17269451334584268,0.17257326874583426
kmAUPRC,0.5896996848462435,0.5905865578957308,0.5955891050516184,0.6005587984136811,0.5886377976377141,0.592633273666909,0.5974261402618154,0.5936053352615213,0.5929464719054369,0.6035392354494513,0.628153137945434,0.630119115364119,0.565059062563385,0.5784749288325672,0.5771092878194264,0.5640938379366465,0.5576997116921919,0.5651215935235594,0.5937528486346834,0.5970677076981892,0.5989554760968258,0.602504165334891,0.5948145618826146,0.5896266105108627,0.843427727706404,0.8477603909529774,0.8442634150819586,0.845903136405605,0.8430577305568732,0.847602881417812,0.28145165691974433,0.2819607853457834,0.281483323658402,0.2822857044623584,0.28307877610426846,0.28313448532544117
Emp(2)IBS,0.15811729873118996,0.15972261701872634,0.1599664092019653,0.1623259683716532,0.17130302844444523,0.17930535849399937,0.16624272933159343,0.16583266066292293,0.16816017646770645,0.17042935191370287,0.17773554787950374,0.18918436538635958,0.14785444441283394,0.150947875416376,0.1532494859144741,0.15398561503798855,0.1703169202658803,0.1898633259916488,0.12699156884503068,0.1273788436235694,0.1285158613194215,0.13253082823915927,0.14104338691870855,0.15168044179547926,0.15650428614831507,0.1592410361976749,0.1585329844286094,0.1565672957180207,0.1562258138890778,0.15636285767926594,0.17377720812184133,0.174566798260565,0.17418098770136148,0.1728626302822651,0.1729274592140495,0.17345065651482014
Emp(2)AUPRC,0.6883094383779976,0.6862996017219836,0.6901080304666346,0.6923474008810641,0.6820179552757224,0.6833652094638214,0.6966798133623454,0.6944672770807792,0.6930428395356504,0.6995326105221195,0.7107337905658484,0.7057792759852026,0.6347443319472235,0.6461900888654734,0.6455269522908964,0.6388170296197943,0.6386699954373161,0.641524755058144,0.6947480381182612,0.6955125753103608,0.697097719588973,0.6979069242013369,0.6990095436906738,0.6944163347787788,0.8848412359107304,0.8886052310423251,0.8860288723701466,0.887202960939505,0.8820700190368431,0.8823587798333838,0.33895650406800765,0.34009407503232086,0.33928944767693336,0.34037690475645277,0.34137357431694715,0.3401770630872676
Emp(4)IBS,0.16432110471943825,0.16569138965141147,0.16611005781044103,0.16871977512876635,0.17785763935607182,0.18618510046770298,0.17081592275802696,0.17008225380000003,0.17224868181019778,0.17445782489818004,0.1814057888134479,0.19392379186397574,0.15072686175492772,0.1533778361226894,0.15579197280774462,0.1568314035290604,0.1737140601414729,0.19567039708803186,0.12962926880923417,0.12990683510344173,0.1308794572023807,0.1349820993627336,0.1437713991222386,0.1549285141918732,0.14372280667170462,0.1441331154058297,0.14476964930036204,0.14274893513949205,0.14413905544689956,0.14361018539256684,0.1867019809240014,0.18791110988718715,0.1876547764861265,0.18559686163429318,0.18602350210091653,0.18659776454482926
Emp(4)AUPRC,0.699022690681313,0.6973607890061276,0.700968639266131,0.7038004235493056,0.6962039530500845,0.7008660722155748,0.706914128232418,0.705165126976991,0.705185135236907,0.7123514209235837,0.7291676286473847,0.7283523961980342,0.6481325726291344,0.6594109197392568,0.6586617971151909,0.6540697575881989,0.6568255324000846,0.6632312376741275,0.7054962723804512,0.7061975806283847,0.7076272481954212,0.7080723085421279,0.7100933950699151,0.7061482851305336,0.8834612531012318,0.8870511534040266,0.8846101905691584,0.8861117937814608,0.883488695812369,0.8865150441263566,0.34860945487217043,0.35025418002446546,0.34959024745574857,0.35017880383322725,0.35147219656576323,0.3499112385982127
Emp(6)IBS,0.17127967074751588,0.17257497345745582,0.17318783873366386,0.1760429169495097,0.1852999928097815,0.19400256480983605,0.1772921254108524,0.17629627258336075,0.1786463055133355,0.18115751425057386,0.18820493575471764,0.2022918666690066,0.1557671329573213,0.1583988923264026,0.16075034695874893,0.16180500085559057,0.17949358456845554,0.20338319496098367,0.13417482485787718,0.13414240354462212,0.13545694036333697,0.1395952982502466,0.14853300717872764,0.16016319958795325,0.15659414424969859,0.15208475824221926,0.15287056101579088,0.15365483201067198,0.15333368811056722,0.1530361698025828,0.19470274638921375,0.19580514096340126,0.1954022523534538,0.1936957980430478,0.1938836529983006,0.19450571862714117
Emp(6)AUPRC,0.700998351989563,0.699861723262375,0.7032906213578513,0.7058468352648994,0.6982541762366995,0.7030088136530718,0.7090022953285859,0.7077884622974002,0.7076801141506451,0.7149086616030043,0.7313170577127933,0.7306860015192739,0.651984710810095,0.6628333333327181,0.6620850793103036,0.6575394987319827,0.660473251942489,0.6664029815779996,0.7083911646583636,0.7090167472187752,0.7105733848893088,0.7109045275011984,0.7129591642436156,0.7087511873945433,0.8791572077566066,0.8835552528331594,0.8809909109341397,0.882669539627208,0.8798531366074215,0.8828398422549725,0.3517215324243551,0.3531321346676736,0.3525342467580063,0.3534095669298511,0.3544314957448061,0.3527761232139972
normIBS,0.16513360442620498,0.16615616689422424,0.16659915709671275,0.16869031279969326,0.17721502639176412,0.18429553179395478,0.17541145878627962,0.1752829006757582,0.1775976114891426,0.17960449348193525,0.1857778824558908,0.1962368672065763,0.1556770057492981,0.15932041342411524,0.16176180320979092,0.1625205351017783,0.1786552823306346,0.19596272612079735,0.13528093058038548,0.13576424291982797,0.13678180559147335,0.14092269610905317,0.1493957163479249,0.15954327038065438,0.17854321952438945,0.17838752520539147,0.1791426387631424,0.1775084496424482,0.17571366309587738,0.1741000744442641,0.20467913153623543,0.2053821297174657,0.20511167090324717,0.20352499092047346,0.20326859792428312,0.20414942949512774
normAUPRC,0.6791131393128613,0.6777994899939614,0.6814684566935035,0.6850376465374018,0.6800158250898558,0.686467342961323,0.6904531210777657,0.6885801523834293,0.6892627622926082,0.6964169077767184,0.7155302515188481,0.7199387410957471,0.6329510645006116,0.6451193476141691,0.6444864514357777,0.6392515890106698,0.6426071463715393,0.6544643406588212,0.680912344715215,0.6816442925647258,0.6832893148329304,0.684460014297651,0.687055120304827,0.6852594091512634,0.8881780757692928,0.8917778623001563,0.8890224691350832,0.8903543077258245,0.8878183963254546,0.8907497305739079,0.3623432288868854,0.36384185597790175,0.36293914137658556,0.3637460543794006,0.36490782193346244,0.36326553092138947
TruncNormIBS,0.16218821746008272,0.16277059277194791,0.16333181860277085,0.16521778042695834,0.17326981645435488,0.180451770154358,0.1726229761279229,0.1724207233941368,0.17469795054112897,0.17650315663713972,0.1825860846818642,0.1921885164249119,0.1525271624883469,0.15680077006037635,0.15885194306982436,0.15926103858794616,0.17374952690301615,0.19051597460999972,0.13511975299113924,0.13554362278183596,0.13680959515171418,0.14078751416857638,0.14891151938932967,0.15846102895954078,0.17836444205095653,0.1781662365369831,0.179194523951002,0.17757741781682865,0.17526015413467375,0.17394323568101683,0.17691465652509217,0.17787327420363566,0.1774819031409338,0.17604995666465909,0.1761899138746262,0.17682256551418402
