METHOD,PARAMS,TIME,CI,CI_CENS,IBS,IAUC,CRIT,CI_mean,CI_CENS_mean,IBS_mean,IAUC_mean,table_path
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['htreat', 'menostat', 'tumgrad'], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'conc', 'leaf_model': 'only_hazard', 'max_features': 0.7, 'min_samples_leaf': 20, 'mode_wei': 'square', 'n_estimators': 25, 'n_jobs': 1, 'size_sample': 0.5, 'weighted_tree': True}",36.99594616889954,"[0.65885031, 0.65304367, 0.59039123, 0.59061995, 0.62239415]","[0.72967014, 0.713958, 0.62127255, 0.66264439, 0.68840868]","[0.16047689, 0.21764808, 0.17228255, 0.16601031, 0.14154659]","[0.78146676, 0.76997262, 0.60474524, 0.73079583, 0.73882665]",weights,0.6230598604583983,0.6831907531741754,0.1715928856286339,0.7251614217149195,GBSG\leaf_models_GBSG_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['htreat', 'menostat', 'tumgrad'], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'conc', 'leaf_model': 'only_hazard', 'max_features': 0.7, 'min_samples_leaf': 20, 'mode_wei': 'square', 'n_estimators': 25, 'n_jobs': 1, 'size_sample': 0.7, 'weighted_tree': True}",47.79717993736267,"[0.60268897, 0.63476016, 0.57684867, 0.62264151, 0.59886095]","[0.68451226, 0.69207694, 0.60151947, 0.69657591, 0.66779526]","[0.17558884, 0.22320829, 0.17965168, 0.15816168, 0.14885249]","[0.69386438, 0.75230192, 0.5787476, 0.76319705, 0.72330195]",weights,0.6071600517900739,0.6684959663987703,0.1770925957827192,0.7022825797563962,GBSG\leaf_models_GBSG_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['htreat', 'menostat', 'tumgrad'], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'conc', 'leaf_model': 'only_hazard', 'max_features': 0.7, 'min_samples_leaf': 20, 'mode_wei': 'exp', 'n_estimators': 15, 'n_jobs': 1, 'size_sample': 0.5, 'weighted_tree': True}",22.3748733997345,"[0.6389477, 0.64105184, 0.59968831, 0.61002695, 0.5998818]","[0.70365144, 0.70619375, 0.63589744, 0.69482261, 0.65943039]","[0.16819793, 0.22422462, 0.17287083, 0.1591883, 0.14699657]","[0.7561708, 0.73630756, 0.62884329, 0.75701329, 0.72058821]",weights,0.6179193197619209,0.679999125292447,0.1742956483869228,0.7197846319857045,GBSG\leaf_models_GBSG_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['htreat', 'menostat', 'tumgrad'], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'conc', 'leaf_model': 'only_hazard', 'max_features': 0.7, 'min_samples_leaf': 20, 'mode_wei': 'exp', 'n_estimators': 15, 'n_jobs': 1, 'size_sample': 0.7, 'weighted_tree': True}",28.37532877922058,"[0.60268897, 0.63443751, 0.56481083, 0.61983827, 0.57624113]","[0.68451226, 0.69834127, 0.6025641, 0.6875, 0.66361283]","[0.17558884, 0.22480855, 0.18139844, 0.16006861, 0.14548896]","[0.69386438, 0.75294598, 0.55258904, 0.73942669, 0.71990456]",weights,0.5996033452107449,0.6673060924789693,0.1774706782187494,0.6917461281541045,GBSG\leaf_models_GBSG_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['htreat', 'menostat', 'tumgrad'], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'conc', 'leaf_model': 'only_hazard', 'max_features': 0.7, 'min_samples_leaf': 20, 'mode_wei': 'exp', 'n_estimators': 25, 'n_jobs': 1, 'size_sample': 0.5, 'weighted_tree': True}",36.14043998718262,"[0.6389477, 0.64239621, 0.59968831, 0.61606469, 0.600634]","[0.70365144, 0.70284101, 0.63589744, 0.68780941, 0.66371241]","[0.16819793, 0.22307398, 0.17287083, 0.16043764, 0.14958672]","[0.7561708, 0.74183588, 0.62884329, 0.75780231, 0.72782219]",weights,0.6195461825345923,0.6787823393441239,0.1748334186960386,0.7224948944115689,GBSG\leaf_models_GBSG_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['htreat', 'menostat', 'tumgrad'], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'conc', 'leaf_model': 'only_hazard', 'max_features': 0.7, 'min_samples_leaf': 20, 'mode_wei': 'exp', 'n_estimators': 25, 'n_jobs': 1, 'size_sample': 0.7, 'weighted_tree': True}",46.53169369697571,"[0.60268897, 0.63443751, 0.56481083, 0.62307278, 0.59665807]","[0.68451226, 0.69834127, 0.6025641, 0.69863861, 0.65913165]","[0.17558884, 0.22480855, 0.18139844, 0.16023379, 0.14769199]","[0.69386438, 0.75294598, 0.55258904, 0.74990227, 0.72083258]",weights,0.6043336325423971,0.6686375794416468,0.1779443205970568,0.6940268487888493,GBSG\leaf_models_GBSG_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['htreat', 'menostat', 'tumgrad'], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'conc', 'leaf_model': 'only_hazard', 'max_features': 0.7, 'min_samples_leaf': 25, 'mode_wei': 'square', 'n_estimators': 15, 'n_jobs': 1, 'size_sample': 0.5, 'weighted_tree': True}",19.29658102989197,"[0.59273767, 0.63228651, 0.59243336, 0.61665768, 0.60858586]","[0.66854824, 0.68678313, 0.63675214, 0.6910066, 0.66381199]","[0.18106851, 0.2258318, 0.17560433, 0.15799998, 0.14881316]","[0.6770603, 0.73598994, 0.60106889, 0.76217926, 0.70649358]",weights,0.6085402164974589,0.6693804204600308,0.1778635542893938,0.6965583926761514,GBSG\leaf_models_GBSG_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['htreat', 'menostat', 'tumgrad'], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'conc', 'leaf_model': 'only_hazard', 'max_features': 0.7, 'min_samples_leaf': 25, 'mode_wei': 'square', 'n_estimators': 15, 'n_jobs': 1, 'size_sample': 0.7, 'weighted_tree': True}",24.85957717895508,"[0.59554309, 0.63631964, 0.61151118, 0.61897574, 0.60369654]","[0.67939672, 0.7130757, 0.6648623, 0.70513614, 0.65166302]","[0.18202589, 0.21837967, 0.17081801, 0.15903067, 0.15139516]","[0.70290271, 0.75439684, 0.63024171, 0.77352594, 0.71406793]",weights,0.6132092369495064,0.6828267745144941,0.1763298797757968,0.7150270284574078,GBSG\leaf_models_GBSG_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['htreat', 'menostat', 'tumgrad'], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'conc', 'leaf_model': 'only_hazard', 'max_features': 0.7, 'min_samples_leaf': 25, 'mode_wei': 'square', 'n_estimators': 25, 'n_jobs': 1, 'size_sample': 0.5, 'weighted_tree': True}",32.07832765579224,"[0.59273767, 0.63088836, 0.58695185, 0.61628032, 0.60294434]","[0.66854824, 0.68960649, 0.62241216, 0.68440594, 0.66640112]","[0.18106851, 0.22566376, 0.17535231, 0.15878285, 0.14691027]","[0.6770603, 0.73912709, 0.59357041, 0.76069266, 0.71805489]",weights,0.605960507786069,0.666274790046249,0.17755553926533,0.6977010694138192,GBSG\leaf_models_GBSG_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['htreat', 'menostat', 'tumgrad'], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'conc', 'leaf_model': 'only_hazard', 'max_features': 0.7, 'min_samples_leaf': 25, 'mode_wei': 'square', 'n_estimators': 25, 'n_jobs': 1, 'size_sample': 0.7, 'weighted_tree': True}",41.5314359664917,"[0.59554309, 0.63825554, 0.59490542, 0.62274933, 0.60820976]","[0.67939672, 0.70884066, 0.63893637, 0.70193894, 0.65106552]","[0.18202589, 0.21657065, 0.17363169, 0.15597956, 0.14733749]","[0.70290271, 0.76089028, 0.61591475, 0.78199879, 0.72681265]",weights,0.6119326252325862,0.6760356432779974,0.1751090576203083,0.7177038375589851,GBSG\leaf_models_GBSG_full.xlsx
