METHOD,PARAMS,table_path,CI_mean,IBS_mean,IAUC_mean
BoostingTree(weights),"{'aggreg_func': 'wei', 'categ': ['htreat', 'menostat', 'tumgrad'], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'roc', 'leaf_model': 'base', 'max_features': 0.7, 'min_samples_leaf': 20, 'mode_wei': 'exp', 'n_estimators': 25, 'n_jobs': 1, 'size_sample': 0.7}",GBSG\sqrt_hist\sqrt_wei_models_GBSG_full.xlsx,0.6230813319961849,0.1703989837852959,0.7215867542607838
BoostingTree(logrank),"{'aggreg_func': 'wei', 'categ': ['htreat', 'menostat', 'tumgrad'], 'criterion': 'logrank', 'depth': 15, 'ens_metric_name': 'conc', 'leaf_model': 'only_survive', 'max_features': 0.7, 'min_samples_leaf': 20, 'mode_wei': 'exp', 'n_estimators': 25, 'n_jobs': 1, 'size_sample': 0.5, 'weighted_tree': True}",GBSG\leaf_models_GBSG_full.xlsx,0.624904518184694,0.1701222698616382,0.7010941190866136
BoostingTree(peto),"{'aggreg_func': 'mean', 'categ': ['htreat', 'menostat', 'tumgrad'], 'criterion': 'peto', 'depth': 15, 'ens_metric_name': 'ibs', 'leaf_model': 'only_survive', 'max_features': 0.7, 'min_samples_leaf': 20, 'mode_wei': 'exp', 'n_estimators': 25, 'n_jobs': 1, 'size_sample': 0.5, 'weighted_tree': True}",GBSG\leaf_models_GBSG_full.xlsx,0.6231141784763033,0.1709507937788183,0.7031168552834477
BoostingTree(tarone-ware),"{'aggreg_func': 'wei', 'categ': ['htreat', 'menostat', 'tumgrad'], 'criterion': 'tarone-ware', 'depth': 10, 'ens_metric_name': 'conc', 'leaf_model': 'base', 'max_features': 0.7, 'min_samples_leaf': 20, 'mode_wei': 'linear', 'n_estimators': 25, 'n_jobs': 1, 'size_sample': 0.7}",GBSG\new_grid_params\new_GBSG_full.xlsx,0.6218373187322132,0.1703923949902378,0.7262314094369822
BoostingTree(wilcoxon),"{'aggreg_func': 'mean', 'categ': ['htreat', 'menostat', 'tumgrad'], 'criterion': 'wilcoxon', 'depth': 10, 'ens_metric_name': 'roc', 'leaf_model': 'wei_survive', 'max_features': 'sqrt', 'min_samples_leaf': 20, 'mode_wei': 'square', 'n_estimators': 25, 'n_jobs': 1, 'size_sample': 1.0}",GBSG\WEI KM_in_crit\wei_survive_GBSG_full.xlsx,0.6200801831308752,0.1711593644404435,0.680870295604759
